
;;;;
;;
Americký dolar USD;1;;21.992;23.120;22.556;;21.900;23.210;22.556;;22.761
Australský dolar AUD;1;;15.653;16.456;16.055;;15.490;16.620;16.055;;16.156
Britská libra GBP;1;;28.826;30.304;29.565;;28.680;30.450;29.565;;29.952
Bulharský lev BGN;1;;12.785;13.441;13.113;;;;;;13.153
Dánská koruna DKK;1;;3.351;3.523;3.437;;3.320;3.560;3.437;;3.447
Euro EUR;1;;25.009;26.291;25.650;;24.960;26.340;25.650;;25.725
Hongkongský dolar HKD;1;;2.802;2.946;2.874;;;;;;2.901
Chorvatská kuna HRK;1;;3.371;3.544;3.458;;3.370;3.560;3.458;;3.468
Japonský jen JPY;100;;19.830;20.847;20.338;;19.630;21.050;20.338;;20.648
Jihoafrický rand ZAR;1;;1.545;1.625;1.585;;;;;;1.583
Kanadský dolar CAD;1;;16.455;17.299;16.877;;16.290;17.470;16.877;;16.972
Maďarský forint HUF;100;;7.953;8.361;8.157;;7.950;8.400;8.157;;8.135
Norská koruna NOK;1;;2.601;2.734;2.667;;2.570;2.760;2.667;;2.668
Novozélandský dolar NZD;1;;15.144;15.921;15.532;;;;;;15.654
Polský zlotý PLN;1;;5.841;6.140;5.990;;5.820;6.160;5.990;;5.995
Rumunský nový lei RON;1;;5.257;5.527;5.392;;;;;;5.415
Ruský rubl RUB;100;;33.963;36.793;35.378;;;;;;35.365
Švédská koruna SEK;1;;2.401;2.524;2.463;;2.380;2.550;2.463;;2.456
Švýcarský frank CHF;1;;22.139;23.274;22.706;;22.050;23.360;22.706;;22.880
Tuniský dinár TND;1;;7.335;7.711;7.523;;;;;;
Turecká lira TRY;1;;4.019;4.225;4.122;;;;;;4.092
